SN,Commodity,Date,Unit,Minimum,Maximum,Average
32394,Onion Dry (Indian),2014-12-23,Kg,45,46,45.5
32463,Tomato Big(Nepali),2014-12-24,Kg,40,45,42.5
32465,Potato Red,2014-12-24,Kg,22,25,23.5
32467,Onion Dry (Indian),2014-12-24,Kg,44,46,45
32537,Tomato Big(Nepali),2014-12-25,Kg,40,45,42.5
32539,Potato Red,2014-12-25,Kg,20,24,22
32541,Onion Dry (Indian),2014-12-25,Kg,43,44,43.5
32607,Tomato Big(Nepali),2014-12-26,Kg,40,50,45
32609,Potato Red,2014-12-26,Kg,22,26,24
32611,Onion Dry (Indian),2014-12-26,Kg,43,44,43.5
32682,Tomato Big(Nepali),2014-12-27,Kg,40,45,42.5
32684,Potato Red,2014-12-27,Kg,20,25,22.5
32686,Onion Dry (Indian),2014-12-27,Kg,39,40,39.5
32760,Potato Red,2014-12-28,Kg,23,26,24.5
32762,Onion Dry (Indian),2014-12-28,Kg,45,46,45.5
32834,Tomato Big(Nepali),2014-12-29,Kg,38,40,39
32836,Potato Red,2014-12-29,Kg,20,25,22.5
32838,Onion Dry (Indian),2014-12-29,Kg,38,40,39
32910,Tomato Big(Nepali),2014-12-30,Kg,40,45,42.5
32912,Potato Red,2014-12-30,Kg,20,25,22.5
32914,Onion Dry (Indian),2014-12-30,Kg,39,40,39.5
32987,Tomato Big(Nepali),2014-12-31,Kg,35,40,37.5
32989,Potato Red,2014-12-31,Kg,18,22,20
32991,Onion Dry (Indian),2014-12-31,Kg,38,39,38.5
33066,Tomato Big(Nepali),2015-01-01,Kg,35,40,37.5
33068,Potato Red,2015-01-01,Kg,20,22,21
33070,Onion Dry (Indian),2015-01-01,Kg,38,40,39
33145,Tomato Big(Nepali),2015-01-02,Kg,35,40,37.5
33147,Potato Red,2015-01-02,Kg,20,22,21
33149,Onion Dry (Indian),2015-01-02,Kg,39,40,39.5
33223,Tomato Big(Nepali),2015-01-03,Kg,40,45,42.5
33225,Potato Red,2015-01-03,Kg,20,25,22.5
33227,Onion Dry (Indian),2015-01-03,Kg,39,40,39.5
33300,Tomato Big(Nepali),2015-01-04,Kg,35,40,37.5
33302,Potato Red,2015-01-04,Kg,20,22,21
33304,Onion Dry (Indian),2015-01-04,Kg,38,39,38.5
33377,Tomato Big(Nepali),2015-01-05,Kg,35,40,37.5
33379,Potato Red,2015-01-05,Kg,20,23,21.5
33381,Onion Dry (Indian),2015-01-05,Kg,38,39,38.5
33456,Tomato Big(Nepali),2015-01-06,Kg,40,45,42.5
33458,Potato Red,2015-01-06,Kg,20,22,21
33460,Onion Dry (Indian),2015-01-06,Kg,38,39,38.5
33533,Tomato Big(Nepali),2015-01-07,Kg,38,40,39
33535,Potato Red,2015-01-07,Kg,20,24,22
33537,Onion Dry (Indian),2015-01-07,Kg,37,39,38
33611,Tomato Big(Nepali),2015-01-08,Kg,35,40,37.5
33613,Potato Red,2015-01-08,Kg,20,24,22
33615,Onion Dry (Indian),2015-01-08,Kg,38,39,38.5
33687,Tomato Big(Nepali),2015-01-09,Kg,38,42,40
33689,Potato Red,2015-01-09,Kg,20,24,22
33691,Onion Dry (Indian),2015-01-09,Kg,38,39,38.5
33765,Tomato Big(Nepali),2015-01-11,Kg,18,20,19
33767,Potato Red,2015-01-11,Kg,20,24,22
33769,Onion Dry (Indian),2015-01-11,Kg,35,38,36.5
33840,Tomato Big(Nepali),2015-01-12,Kg,25,30,27.5
33842,Potato Red,2015-01-12,Kg,18,22,20
33844,Onion Dry (Indian),2015-01-12,Kg,36,38,37
33919,Tomato Big(Nepali),2015-01-13,Kg,28,30,29
33921,Potato Red,2015-01-13,Kg,20,22,21
33923,Onion Dry (Indian),2015-01-13,Kg,36,38,37
34000,Tomato Big(Nepali),2015-01-14,Kg,28,30,29
34002,Potato Red,2015-01-14,Kg,20,22,21
34004,Onion Dry (Indian),2015-01-14,Kg,36,38,37
34081,Tomato Big(Nepali),2015-01-15,Kg,25,30,27.5
34083,Potato Red,2015-01-15,Kg,20,22,21
34085,Onion Dry (Indian),2015-01-15,Kg,36,37,36.5
34149,Tomato Big(Nepali),2015-01-16,Kg,28,30,29
34151,Potato Red,2015-01-16,Kg,20,24,22
34153,Onion Dry (Indian),2015-01-16,Kg,35,36,35.5
34225,Tomato Big(Nepali),2015-01-17,Kg,25,30,27.5
34227,Potato Red,2015-01-17,Kg,20,22,21
34229,Onion Dry (Indian),2015-01-17,Kg,36,37,36.5
34302,Tomato Big(Nepali),2015-01-18,Kg,40,50,45
34304,Potato Red,2015-01-18,Kg,20,23,21.5
34306,Onion Dry (Indian),2015-01-18,Kg,38,40,39
34378,Tomato Big(Nepali),2015-01-19,Kg,30,40,35
34380,Potato Red,2015-01-19,Kg,20,22,21
34382,Onion Dry (Indian),2015-01-19,Kg,35,36,35.5
34457,Tomato Big(Nepali),2015-01-20,Kg,30,30,30
34459,Potato Red,2015-01-20,Kg,19,21,20
34461,Onion Dry (Indian),2015-01-20,Kg,35,36,35.5
34528,Tomato Big(Nepali),2015-01-21,Kg,30,35,32.5
34530,Potato Red,2015-01-21,Kg,20,22,21
34532,Onion Dry (Indian),2015-01-21,Kg,36,37,36.5
34603,Tomato Big(Nepali),2015-01-22,Kg,30,35,32.5
34605,Potato Red,2015-01-22,Kg,20,22,21
34607,Onion Dry (Indian),2015-01-22,Kg,35,37,36
34680,Tomato Big(Nepali),2015-01-23,Kg,30,35,32.5
34682,Potato Red,2015-01-23,Kg,20,22,21
34684,Onion Dry (Indian),2015-01-23,Kg,35,37,36
34757,Tomato Big(Nepali),2015-01-25,Kg,30,35,32.5
34759,Potato Red,2015-01-25,Kg,23,24,23.5
34761,Onion Dry (Indian),2015-01-25,Kg,35,38,36.5
34834,Tomato Big(Nepali),2015-01-26,Kg,30,35,32.5
34836,Potato Red,2015-01-26,Kg,20,22,21
34838,Onion Dry (Indian),2015-01-26,Kg,35,36,35.5
34909,Tomato Big(Nepali),2015-01-27,Kg,28,30,29
34911,Potato Red,2015-01-27,Kg,18,21,19.5
34913,Onion Dry (Indian),2015-01-27,Kg,34,36,35
34984,Tomato Big(Nepali),2015-01-28,Kg,25,30,27.5
34986,Potato Red,2015-01-28,Kg,19,20,19.5
34988,Onion Dry (Indian),2015-01-28,Kg,34,36,35
35061,Tomato Big(Nepali),2015-01-29,Kg,30,40,35
35063,Potato Red,2015-01-29,Kg,20,22,21
35065,Onion Dry (Indian),2015-01-29,Kg,34,36,35
35140,Tomato Big(Nepali),2015-01-31,Kg,35,40,37.5
35142,Potato Red,2015-01-31,Kg,20,22,21
35144,Onion Dry (Indian),2015-01-31,Kg,35,36,35.5
35219,Tomato Big(Nepali),2015-02-01,Kg,35,40,37.5
35221,Potato Red,2015-02-01,Kg,20,22,21
35223,Onion Dry (Indian),2015-02-01,Kg,38,40,39
35296,Tomato Big(Nepali),2015-02-02,Kg,30,35,32.5
35298,Potato Red,2015-02-02,Kg,20,22,21
35300,Onion Dry (Indian),2015-02-02,Kg,39,40,39.5
35374,Tomato Big(Nepali),2015-02-03,Kg,30,35,32.5
35376,Potato Red,2015-02-03,Kg,20,22,21
35378,Onion Dry (Indian),2015-02-03,Kg,39,40,39.5
35452,Tomato Big(Nepali),2015-02-04,Kg,25,30,27.5
35454,Potato Red,2015-02-04,Kg,20,22,21
35456,Onion Dry (Indian),2015-02-04,Kg,39,40,39.5
35527,Tomato Big(Nepali),2015-02-05,Kg,25,30,27.5
35529,Potato Red,2015-02-05,Kg,18,20,19
35531,Onion Dry (Indian),2015-02-05,Kg,39,40,39.5
35602,Tomato Big(Nepali),2015-02-06,Kg,25,30,27.5
35604,Potato Red,2015-02-06,Kg,18,20,19
35606,Onion Dry (Indian),2015-02-06,Kg,39,40,39.5
35679,Tomato Big(Nepali),2015-02-07,Kg,25,30,27.5
35681,Potato Red,2015-02-07,Kg,18,20,19
35683,Onion Dry (Indian),2015-02-07,Kg,39,40,39.5
35757,Tomato Big(Nepali),2015-02-08,Kg,25,30,27.5
35759,Potato Red,2015-02-08,Kg,18,20,19
35761,Onion Dry (Indian),2015-02-08,Kg,39,40,39.5
35834,Tomato Big(Nepali),2015-02-09,Kg,25,30,27.5
35836,Potato Red,2015-02-09,Kg,18,20,19
35838,Onion Dry (Indian),2015-02-09,Kg,38,40,39
35911,Tomato Big(Nepali),2015-02-10,Kg,25,30,27.5
35913,Potato Red,2015-02-10,Kg,18,20,19
35915,Onion Dry (Indian),2015-02-10,Kg,39,40,39.5
35989,Tomato Big(Nepali),2015-02-11,Kg,25,30,27.5
35991,Potato Red,2015-02-11,Kg,18,20,19
35993,Onion Dry (Indian),2015-02-11,Kg,38,40,39
36067,Tomato Big(Nepali),2015-02-12,Kg,25,30,27.5
36069,Potato Red,2015-02-12,Kg,18,20,19
36071,Onion Dry (Indian),2015-02-12,Kg,38,40,39
36144,Tomato Big(Nepali),2015-02-13,Kg,25,30,27.5
36146,Potato Red,2015-02-13,Kg,18,20,19
36148,Onion Dry (Indian),2015-02-13,Kg,38,40,39
36220,Tomato Big(Nepali),2015-02-14,Kg,25,30,27.5
36222,Potato Red,2015-02-14,Kg,17,19,18
36224,Onion Dry (Indian),2015-02-14,Kg,41,42,41.5
36298,Tomato Big(Nepali),2015-02-15,Kg,25,30,27.5
36300,Potato Red,2015-02-15,Kg,17,19,18
36302,Onion Dry (Indian),2015-02-15,Kg,41,42,41.5
36376,Tomato Big(Nepali),2015-02-16,Kg,25,30,27.5
36378,Potato Red,2015-02-16,Kg,17,19,18
36380,Onion Dry (Indian),2015-02-16,Kg,41,42,41.5
36453,Tomato Big(Nepali),2015-02-18,Kg,25,30,27.5
36455,Potato Red,2015-02-18,Kg,16,19,17.5
36457,Onion Dry (Indian),2015-02-18,Kg,41,42,41.5
36532,Tomato Big(Nepali),2015-02-19,Kg,25,30,27.5
36534,Potato Red,2015-02-19,Kg,16,18,17
36536,Onion Dry (Indian),2015-02-19,Kg,41,42,41.5
36610,Tomato Big(Nepali),2015-02-20,Kg,25,30,27.5
36612,Potato Red,2015-02-20,Kg,18,20,19
36614,Onion Dry (Indian),2015-02-20,Kg,42,43,42.5
36688,Tomato Big(Nepali),2015-02-22,Kg,25,30,27.5
36690,Potato Red,2015-02-22,Kg,18,20,19
36692,Onion Dry (Indian),2015-02-22,Kg,42,43,42.5
36767,Tomato Big(Nepali),2015-02-23,Kg,25,30,27.5
36769,Potato Red,2015-02-23,Kg,18,20,19
36771,Onion Dry (Indian),2015-02-23,Kg,42,43,42.5
36848,Tomato Big(Nepali),2015-02-24,Kg,25,30,27.5
36850,Potato Red,2015-02-24,Kg,18,20,19
36852,Onion Dry (Indian),2015-02-24,Kg,39,40,39.5
36925,Tomato Big(Nepali),2015-02-25,Kg,25,30,27.5
36927,Potato Red,2015-02-25,Kg,18,20,19
36929,Onion Dry (Indian),2015-02-25,Kg,39,40,39.5
36998,Tomato Big(Nepali),2015-02-26,Kg,25,30,27.5
37000,Potato Red,2015-02-26,Kg,18,20,19
37002,Onion Dry (Indian),2015-02-26,Kg,38,40,39
37073,Tomato Big(Nepali),2015-02-27,Kg,25,30,27.5
37075,Potato Red,2015-02-27,Kg,18,20,19
37077,Onion Dry (Indian),2015-02-27,Kg,39,40,39.5
37148,Tomato Big(Nepali),2015-03-01,Kg,25,30,27.5
37150,Potato Red,2015-03-01,Kg,18,20,19
37152,Onion Dry (Indian),2015-03-01,Kg,39,40,39.5
37224,Tomato Big(Nepali),2015-03-02,Kg,25,30,27.5
37226,Potato Red,2015-03-02,Kg,18,20,19
37228,Onion Dry (Indian),2015-03-02,Kg,38,40,39
37296,Tomato Big(Nepali),2015-03-03,Kg,30,35,32.5
37298,Potato Red,2015-03-03,Kg,18,20,19
37300,Onion Dry (Indian),2015-03-03,Kg,39,40,39.5
37373,Tomato Big(Nepali),2015-03-06,Kg,30,35,32.5
37375,Potato Red,2015-03-06,Kg,18,20,19
37377,Onion Dry (Indian),2015-03-06,Kg,39,40,39.5
37449,Tomato Big(Nepali),2015-03-09,Kg,30,36,33
37451,Potato Red,2015-03-09,Kg,18,20,19
37453,Onion Dry (Indian),2015-03-09,Kg,35,38,36.5
37519,Tomato Big(Nepali),2015-03-10,Kg,30,36,33
37521,Potato Red,2015-03-10,Kg,18,20,19
37523,Onion Dry (Indian),2015-03-10,Kg,35,38,36.5
37594,Tomato Big(Nepali),2015-03-11,Kg,35,42,38.5
37596,Potato Red,2015-03-11,Kg,18,20,19
37598,Onion Dry (Indian),2015-03-11,Kg,38,39,38.5
37667,Tomato Big(Nepali),2015-03-12,Kg,35,45,40
37669,Potato Red,2015-03-12,Kg,18,20,19
37671,Onion Dry (Indian),2015-03-12,Kg,36,38,37
37739,Tomato Big(Nepali),2015-03-13,Kg,40,45,42.5
37741,Potato Red,2015-03-13,Kg,18,20,19
37743,Onion Dry (Indian),2015-03-13,Kg,36,38,37
37811,Tomato Big(Nepali),2015-03-14,Kg,40,45,42.5
37813,Potato Red,2015-03-14,Kg,18,20,19
37815,Onion Dry (Indian),2015-03-14,Kg,38,40,39
37889,Tomato Big(Nepali),2015-03-15,Kg,40,45,42.5
37891,Potato Red,2015-03-15,Kg,18,20,19
37893,Onion Dry (Indian),2015-03-15,Kg,38,40,39
37928,Tomato Big(Nepali),2015-03-16,Kg,38,40,39
37930,Potato Red,2015-03-16,Kg,18,20,19
37932,Onion Dry (Indian),2015-03-16,Kg,39,40,39.5
38005,Tomato Big(Nepali),2015-03-17,Kg,35,40,37.5
38007,Potato Red,2015-03-17,Kg,16,18,17
38009,Onion Dry (Indian),2015-03-17,Kg,39,40,39.5
38082,Tomato Big(Nepali),2015-03-18,Kg,35,40,37.5
38084,Potato Red,2015-03-18,Kg,16,18,17
38086,Onion Dry (Indian),2015-03-18,Kg,38,40,39
38160,Tomato Big(Nepali),2015-03-19,Kg,38,40,39
38162,Potato Red,2015-03-19,Kg,16,18,17
38164,Onion Dry (Indian),2015-03-19,Kg,35,38,36.5
38238,Tomato Big(Nepali),2015-03-20,Kg,35,40,37.5
38240,Potato Red,2015-03-20,Kg,18,20,19
38242,Onion Dry (Indian),2015-03-20,Kg,35,38,36.5
38317,Tomato Big(Nepali),2015-03-21,Kg,35,40,37.5
38319,Potato Red,2015-03-21,Kg,18,20,19
38321,Onion Dry (Indian),2015-03-21,Kg,35,38,36.5
38396,Tomato Big(Nepali),2015-03-22,Kg,35,40,37.5
38398,Potato Red,2015-03-22,Kg,18,20,19
38400,Onion Dry (Indian),2015-03-22,Kg,35,38,36.5
38475,Tomato Big(Nepali),2015-03-23,Kg,35,40,37.5
38477,Potato Red,2015-03-23,Kg,18,20,19
38479,Onion Dry (Indian),2015-03-23,Kg,35,38,36.5
38554,Tomato Big(Nepali),2015-03-24,Kg,35,40,37.5
38556,Potato Red,2015-03-24,Kg,16,18,17
38558,Onion Dry (Indian),2015-03-24,Kg,35,36,35.5
38631,Tomato Big(Nepali),2015-03-25,Kg,35,40,37.5
38633,Potato Red,2015-03-25,Kg,16,18,17
38635,Onion Dry (Indian),2015-03-25,Kg,35,36,35.5
38710,Tomato Big(Nepali),2015-03-26,Kg,35,40,37.5
38712,Potato Red,2015-03-26,Kg,17,18,17.5
38714,Onion Dry (Indian),2015-03-26,Kg,33,35,34
38786,Tomato Big(Nepali),2015-03-27,Kg,35,42,38.5
38788,Potato Red,2015-03-27,Kg,17,19,18
38790,Onion Dry (Indian),2015-03-27,Kg,33,36,34.5
38863,Tomato Big(Nepali),2015-03-28,Kg,45,50,47.5
38865,Potato Red,2015-03-28,Kg,17,18,17.5
38867,Onion Dry (Indian),2015-03-28,Kg,33,35,34
38936,Tomato Big(Nepali),2015-03-29,Kg,55,60,57.5
38938,Potato Red,2015-03-29,Kg,16,18,17
38940,Onion Dry (Indian),2015-03-29,Kg,32,34,33
39009,Tomato Big(Nepali),2015-03-30,Kg,50,55,52.5
39011,Potato Red,2015-03-30,Kg,14,17,15.5
39013,Onion Dry (Indian),2015-03-30,Kg,33,34,33.5
39087,Tomato Big(Nepali),2015-03-31,Kg,40,45,42.5
39089,Potato Red,2015-03-31,Kg,16,18,17
39091,Onion Dry (Indian),2015-03-31,Kg,32,34,33
39165,Tomato Big(Nepali),2015-04-01,Kg,40,45,42.5
39167,Potato Red,2015-04-01,Kg,15,18,16.5
39169,Onion Dry (Indian),2015-04-01,Kg,32,33,32.5
39244,Tomato Big(Nepali),2015-04-02,Kg,38,45,41.5
39246,Potato Red,2015-04-02,Kg,15,18,16.5
39248,Onion Dry (Indian),2015-04-02,Kg,31,33,32
39322,Tomato Big(Nepali),2015-04-03,Kg,30,35,32.5
39324,Potato Red,2015-04-03,Kg,16,18,17
39326,Onion Dry (Indian),2015-04-03,Kg,32,34,33
39399,Tomato Big(Nepali),2015-04-04,Kg,30,35,32.5
39401,Potato Red,2015-04-04,Kg,16,18,17
39403,Onion Dry (Indian),2015-04-04,Kg,32,34,33
39476,Tomato Big(Nepali),2015-04-05,Kg,30,35,32.5
39478,Potato Red,2015-04-05,Kg,16,18,17
39480,Onion Dry (Indian),2015-04-05,Kg,32,34,33
39552,Tomato Big(Nepali),2015-04-06,Kg,30,35,32.5
39554,Potato Red,2015-04-06,Kg,16,18,17
39556,Onion Dry (Indian),2015-04-06,Kg,31,32,31.5
39629,Tomato Big(Nepali),2015-04-07,Kg,30,35,32.5
39631,Potato Red,2015-04-07,Kg,16,18,17
39633,Onion Dry (Indian),2015-04-07,Kg,31,32,31.5
39704,Tomato Big(Nepali),2015-04-08,Kg,30,35,32.5
39706,Potato Red,2015-04-08,Kg,16,18,17
39708,Onion Dry (Indian),2015-04-08,Kg,31,32,31.5
39780,Tomato Big(Nepali),2015-04-10,Kg,38,40,39
39782,Potato Red,2015-04-10,Kg,18,19,18.5
39784,Onion Dry (Indian),2015-04-10,Kg,40,42,41
39859,Tomato Big(Nepali),2015-04-12,Kg,45,50,47.5
39861,Potato Red,2015-04-12,Kg,16,18,17
39863,Onion Dry (Indian),2015-04-12,Kg,35,36,35.5
39933,Tomato Big(Nepali),2015-04-13,Kg,40,45,42.5
39935,Potato Red,2015-04-13,Kg,16,18,17
39937,Onion Dry (Indian),2015-04-13,Kg,35,36,35.5
40008,Tomato Big(Nepali),2015-04-14,Kg,40,42,41
40010,Potato Red,2015-04-14,Kg,16,18,17
40012,Onion Dry (Indian),2015-04-14,Kg,35,40,37.5
40081,Tomato Big(Nepali),2015-04-15,Kg,35,40,37.5
40083,Potato Red,2015-04-15,Kg,15,17,16
40085,Onion Dry (Indian),2015-04-15,Kg,35,37,36
40157,Tomato Big(Nepali),2015-04-16,Kg,35,40,37.5
40159,Potato Red,2015-04-16,Kg,16,18,17
40161,Onion Dry (Indian),2015-04-16,Kg,35,36,35.5
40233,Tomato Big(Nepali),2015-04-17,Kg,35,40,37.5
40235,Potato Red,2015-04-17,Kg,16,18,17
40237,Onion Dry (Indian),2015-04-17,Kg,35,36,35.5
40308,Tomato Big(Nepali),2015-04-18,Kg,32,36,34
40310,Potato Red,2015-04-18,Kg,16,18,17
40312,Onion Dry (Indian),2015-04-18,Kg,35,36,35.5
40384,Tomato Big(Nepali),2015-04-19,Kg,35,40,37.5
40386,Potato Red,2015-04-19,Kg,16,18,17
40388,Onion Dry (Indian),2015-04-19,Kg,33,34,33.5
40457,Tomato Big(Nepali),2015-04-20,Kg,28,30,29
40459,Potato Red,2015-04-20,Kg,17,18,17.5
40461,Onion Dry (Indian),2015-04-20,Kg,34,35,34.5
40533,Tomato Big(Nepali),2015-04-21,Kg,30,35,32.5
40535,Potato Red,2015-04-21,Kg,17,18,17.5
40537,Onion Dry (Indian),2015-04-21,Kg,33,35,34
40607,Tomato Big(Nepali),2015-04-22,Kg,35,40,37.5
40609,Potato Red,2015-04-22,Kg,17,18,17.5
40611,Onion Dry (Indian),2015-04-22,Kg,33,34,33.5
40681,Tomato Big(Nepali),2015-04-23,Kg,35,40,37.5
40683,Potato Red,2015-04-23,Kg,17,18,17.5
40685,Onion Dry (Indian),2015-04-23,Kg,33,34,33.5
40755,Tomato Big(Nepali),2015-04-24,Kg,35,40,37.5
40757,Potato Red,2015-04-24,Kg,16,18,17
40759,Onion Dry (Indian),2015-04-24,Kg,33,34,33.5
40831,Tomato Big(Nepali),2015-04-25,Kg,35,40,37.5
40833,Potato Red,2015-04-25,Kg,16,18,17
40835,Onion Dry (Indian),2015-04-25,Kg,33,34,33.5
40903,Tomato Big(Nepali),2015-04-26,Kg,35,45,40
40905,Potato Red,2015-04-26,Kg,18,20,19
40907,Onion Dry (Indian),2015-04-26,Kg,35,40,37.5
40975,Tomato Big(Nepali),2015-04-27,Kg,35,45,40
40977,Potato Red,2015-04-27,Kg,18,20,19
40979,Onion Dry (Indian),2015-04-27,Kg,35,40,37.5
41048,Tomato Big(Nepali),2015-04-28,Kg,60,65,62.5
41050,Potato Red,2015-04-28,Kg,17,18,17.5
41052,Onion Dry (Indian),2015-04-28,Kg,34,35,34.5
41121,Tomato Big(Nepali),2015-04-29,Kg,45,50,47.5
41123,Potato Red,2015-04-29,Kg,18,20,19
41125,Onion Dry (Indian),2015-04-29,Kg,35,38,36.5
41192,Tomato Big(Nepali),2015-04-30,Kg,40,45,42.5
41194,Potato Red,2015-04-30,Kg,17,20,18.5
41196,Onion Dry (Indian),2015-04-30,Kg,35,40,37.5
41263,Tomato Big(Nepali),2015-05-01,Kg,40,45,42.5
41265,Potato Red,2015-05-01,Kg,20,22,21
41267,Onion Dry (Indian),2015-05-01,Kg,36,38,37
41329,Tomato Big(Nepali),2015-05-02,Kg,35,40,37.5
41331,Potato Red,2015-05-02,Kg,20,22,21
41333,Onion Dry (Indian),2015-05-02,Kg,36,38,37
41393,Tomato Big(Nepali),2015-05-03,Kg,35,40,37.5
41395,Potato Red,2015-05-03,Kg,17,18,17.5
41397,Onion Dry (Indian),2015-05-03,Kg,35,37,36
41465,Tomato Big(Nepali),2015-05-04,Kg,50,55,52.5
41467,Potato Red,2015-05-04,Kg,17,18,17.5
41469,Onion Dry (Indian),2015-05-04,Kg,36,38,37
41537,Tomato Big(Nepali),2015-05-05,Kg,60,65,62.5
41539,Potato Red,2015-05-05,Kg,17,18,17.5
41541,Onion Dry (Indian),2015-05-05,Kg,37,38,37.5
41609,Tomato Big(Nepali),2015-05-06,Kg,60,65,62.5
41611,Potato Red,2015-05-06,Kg,17,18,17.5
41613,Onion Dry (Indian),2015-05-06,Kg,36,37,36.5
41684,Tomato Big(Nepali),2015-05-07,Kg,60,65,62.5
41686,Potato Red,2015-05-07,Kg,17,18,17.5
41688,Onion Dry (Indian),2015-05-07,Kg,36,37,36.5
41759,Tomato Big(Nepali),2015-05-08,Kg,60,65,62.5
41761,Potato Red,2015-05-08,Kg,17,18,17.5
41763,Onion Dry (Indian),2015-05-08,Kg,36,38,37
41832,Tomato Big(Nepali),2015-05-10,Kg,55,60,57.5
41834,Potato Red,2015-05-10,Kg,17,18,17.5
41836,Onion Dry (Indian),2015-05-10,Kg,36,38,37
41905,Tomato Big(Nepali),2015-05-11,Kg,50,55,52.5
41907,Potato Red,2015-05-11,Kg,16,17,16.5
41909,Onion Dry (Indian),2015-05-11,Kg,36,37,36.5
41978,Tomato Big(Nepali),2015-05-12,Kg,40,45,42.5
41980,Potato Red,2015-05-12,Kg,16,18,17
41982,Onion Dry (Indian),2015-05-12,Kg,35,38,36.5
42051,Tomato Big(Nepali),2015-05-13,Kg,35,40,37.5
42053,Potato Red,2015-05-13,Kg,16,18,17
42055,Onion Dry (Indian),2015-05-13,Kg,36,38,37
42123,Tomato Big(Nepali),2015-05-14,Kg,40,45,42.5
42125,Potato Red,2015-05-14,Kg,16,18,17
42127,Onion Dry (Indian),2015-05-14,Kg,35,38,36.5
42194,Tomato Big(Nepali),2015-05-15,Kg,35,40,37.5
42196,Potato Red,2015-05-15,Kg,16,18,17
42198,Onion Dry (Indian),2015-05-15,Kg,35,38,36.5
42266,Tomato Big(Nepali),2015-05-16,Kg,35,40,37.5
42268,Potato Red,2015-05-16,Kg,16,18,17
42270,Onion Dry (Indian),2015-05-16,Kg,36,38,37
42337,Tomato Big(Nepali),2015-05-17,Kg,35,40,37.5
42339,Potato Red,2015-05-17,Kg,15,17,16
42341,Onion Dry (Indian),2015-05-17,Kg,35,37,36
42408,Tomato Big(Nepali),2015-05-18,Kg,35,40,37.5
42410,Potato Red,2015-05-18,Kg,16,18,17
42412,Onion Dry (Indian),2015-05-18,Kg,35,38,36.5
42479,Tomato Big(Nepali),2015-05-19,Kg,35,40,37.5
42481,Potato Red,2015-05-19,Kg,16,18,17
42483,Onion Dry (Indian),2015-05-19,Kg,35,38,36.5
42550,Tomato Big(Nepali),2015-05-20,Kg,40,45,42.5
42552,Potato Red,2015-05-20,Kg,16,18,17
42554,Onion Dry (Indian),2015-05-20,Kg,35,38,36.5
42621,Tomato Big(Nepali),2015-05-21,Kg,40,45,42.5
42623,Potato Red,2015-05-21,Kg,15,18,16.5
42625,Onion Dry (Indian),2015-05-21,Kg,35,38,36.5
42692,Tomato Big(Nepali),2015-05-22,Kg,60,65,62.5
42694,Potato Red,2015-05-22,Kg,15,18,16.5
42696,Onion Dry (Indian),2015-05-22,Kg,35,38,36.5
42763,Tomato Big(Nepali),2015-05-23,Kg,70,75,72.5
42765,Potato Red,2015-05-23,Kg,15,18,16.5
42767,Onion Dry (Indian),2015-05-23,Kg,35,38,36.5
42834,Tomato Big(Nepali),2015-05-24,Kg,60,62,61
42836,Potato Red,2015-05-24,Kg,15,18,16.5
42838,Onion Dry (Indian),2015-05-24,Kg,35,38,36.5
42904,Tomato Big(Nepali),2015-05-25,Kg,60,65,62.5
42906,Potato Red,2015-05-25,Kg,15,18,16.5
42908,Onion Dry (Indian),2015-05-25,Kg,35,38,36.5
42974,Tomato Big(Nepali),2015-05-26,Kg,60,65,62.5
42976,Potato Red,2015-05-26,Kg,15,18,16.5
42978,Onion Dry (Indian),2015-05-26,Kg,35,38,36.5
43044,Tomato Big(Nepali),2015-05-27,Kg,45,50,47.5
43046,Potato Red,2015-05-27,Kg,15,18,16.5
43048,Onion Dry (Indian),2015-05-27,Kg,35,38,36.5
43114,Tomato Big(Nepali),2015-05-28,Kg,55,60,57.5
43116,Potato Red,2015-05-28,Kg,15,18,16.5
43118,Onion Dry (Indian),2015-05-28,Kg,35,38,36.5
43184,Tomato Big(Nepali),2015-05-29,Kg,55,65,60
43186,Potato Red,2015-05-29,Kg,15,18,16.5
43188,Onion Dry (Indian),2015-05-29,Kg,35,38,36.5
43253,Tomato Big(Nepali),2015-05-30,Kg,45,55,50
43255,Potato Red,2015-05-30,Kg,15,18,16.5
43257,Onion Dry (Indian),2015-05-30,Kg,35,38,36.5
43324,Tomato Big(Nepali),2015-05-31,Kg,50,55,52.5
43326,Potato Red,2015-05-31,Kg,15,18,16.5
43328,Onion Dry (Indian),2015-05-31,Kg,35,38,36.5
43391,Tomato Big(Nepali),2015-06-01,Kg,45,50,47.5
43393,Potato Red,2015-06-01,Kg,15,18,16.5
43395,Onion Dry (Indian),2015-06-01,Kg,37,40,38.5
43459,Tomato Big(Nepali),2015-06-02,Kg,40,45,42.5
43461,Potato Red,2015-06-02,Kg,16,18,17
43463,Onion Dry (Indian),2015-06-02,Kg,37,39,38
43527,Tomato Big(Nepali),2015-06-03,Kg,40,45,42.5
43529,Potato Red,2015-06-03,Kg,16,18,17
43531,Onion Dry (Indian),2015-06-03,Kg,37,39,38
43595,Tomato Big(Nepali),2015-06-04,Kg,45,50,47.5
43597,Potato Red,2015-06-04,Kg,16,18,17
43599,Onion Dry (Indian),2015-06-04,Kg,37,39,38
43664,Tomato Big(Nepali),2015-06-05,Kg,40,45,42.5
43666,Potato Red,2015-06-05,Kg,16,18,17
